Pnum,BiasCondition,HarmCondition,ExplicitLowHarm,ExplicitHighHarm,ImplicitLowHarm,ImplicitHighHarm,Accountability_1,Accountability_2,Accountability_3,Accountability_4,Accountability_4_REV,Accountability_5,Accountability_5_REV,Accountability_6,xAccountability,Concern_1,Concern_1_REV,Concern_2,Concern_2_REV,Concern_3,Concern_3_REV,Concern_4,Concern_5,Concern_6,Concern_7,xConcern,Reform_1,Reform_2,Reform_3,Reform_4,Reform_5,xReform,Punish_1,Punish_2,Punish_3,xPunish,BiasPercep_1,BiasPercep_2,BiasPercep_3,BiasPercep_3_REV,BiasPercep_4,xBiasPercep,Attribution,MCP_1,MCP_2,MCP_3,MCP_4,MCP_5,xEMS,MCP_6,MCP_7,MCP_7_REV,MCP_8,MCP_9,MCP_10,xIMS,BiasAware_1,BiasAware_2,BiasAware_3,BiasAware_4,BiasAware_4_REV,xBiasAware,IB_Know_1,IB_Know_2,IB_Know_3,xIBKnow,BiasDef,Job,MedicalProf,YearBorn,Age,Gender,Gender_Recoded,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_6_TEXT,White_Nonwhite,Cons,Lib,Lib_REV,xCons,Party,Party_TEXT,FESSUP,Suspicion,Feedback,Hype,Prev
25,-0.5,-0.5,1,0,0,0,5,6,5,2,6,4,4,5,5.17,4,4,5,3,5,3,6,6,6,6,4.86,4,6,5,5,5,5.00,4,5,4,4.33,5,5,4,4,4,4.50,5,5,5,5,6,3,4.80,5,4,4,5,4,4,4.40,3,4,3,5,3,3.25,6,6,6,6.00,3,Maintenance,0,1990,26,1,-0.50,0,0,1,0,0,0,,-0.50,3,5,3.00,3.00,1,,1,0,Went very well.,To view personal bias's.,2
26,-0.5,-0.5,1,0,0,0,4,4,6,3,5,4,4,7,5.00,5,3,4,4,6,2,6,6,6,6,4.71,6,4,7,6,4,5.40,4,6,4,4.67,7,7,1,7,7,7.00,6,4,5,6,4,4,4.60,5,1,7,4,6,5,5.40,6,2,6,3,5,4.75,5,6,6,5.67,3,Housewife,0,1981,35,2,0.50,0,1,0,0,0,0,,0.50,1,7,1.00,1.00,1,,1,0,"Interesting, thanks for the opportunity!",Biases people have after being prompted about them in other people,3
27,-0.5,-0.5,1,0,0,0,4,6,6,3,5,5,3,5,4.83,4,4,4,4,5,3,5,6,5,6,4.71,7,7,7,5,4,6.00,4,5,4,4.33,3,4,5,3,3,3.25,6,4,3,6,3,3,3.80,7,2,6,7,7,7,6.80,4,5,2,3,5,4.00,6,6,7,6.33,3,Waitress,0,1977,39,2,0.50,0,0,1,0,0,0,,-0.50,5,5,3.00,4.00,2,,1,0,Thank You,I think this study is meant to determine if people are subconsciously biased.,3
28,-0.5,-0.5,1,0,0,0,5,7,7,1,7,1,7,7,6.67,2,6,2,6,2,6,5,5,5,5,5.43,7,4,7,3,1,4.40,3,5,3,3.67,5,5,3,5,5,5.00,5,1,1,5,7,1,3.00,7,1,7,7,7,7,7.00,5,3,5,3,5,4.50,7,7,7,7.00,3,school counselor,0,1967,49,2,0.50,0,0,1,0,0,0,,-0.50,7,1,7.00,7.00,2,,1,0,No.,Not sure.,2
29,-0.5,-0.5,1,0,0,0,7,7,7,1,7,1,7,7,7.00,3,5,2,6,2,6,7,7,7,7,6.43,7,7,7,7,7,7.00,7,7,7,7.00,2,2,6,2,2,2.00,4,2,2,6,2,2,2.80,7,2,6,7,6,7,6.60,6,6,6,2,6,6.00,7,7,7,7.00,3,Salesperson,0,1984,32,1,-0.50,0,0,0,1,0,0,,0.50,7,3,5.00,6.00,4,anarcho-capitalist,1,0,No,I'm not certain.,2
30,-0.5,-0.5,1,0,0,0,6,6,6,2,6,6,2,6,5.33,6,2,6,2,6,2,7,6,6,6,4.43,6,2,6,6,6,5.20,2,5,2,3.00,2,5,3,5,2,3.50,2,2,2,5,2,2,2.60,6,2,6,6,6,6,6.00,2,2,2,5,3,2.25,3,6,6,5.00,3,retired,0,1951,65,2,0.50,0,0,1,0,0,0,,-0.50,5,2,6.00,5.50,3,,1,0,no,I don't know,2
31,-0.5,-0.5,1,0,0,0,6,5,7,1,7,3,5,7,6.17,2,6,3,5,3,5,7,6,7,6,6.00,6,5,7,3,1,4.40,3,6,6,5.00,6,6,1,7,5,6.00,5,6,6,2,5,3,4.40,6,2,6,7,7,6,6.40,6,6,5,2,6,5.75,5,5,6,5.33,3,office assistant,0,1984,32,2,0.50,0,0,1,0,0,0,,-0.50,7,5,3.00,5.00,2,,1,0,no,to see how people felt about doctors being bias to elderly patients,2
32,-0.5,-0.5,1,0,0,0,5,6,6,2,6,3,5,7,5.83,3,5,3,5,3,5,6,6,7,6,5.71,6,6,6,5,6,5.80,7,7,5,6.33,5,5,3,5,5,5.00,5,3,4,3,3,3,3.20,6,3,5,7,6,5,5.80,4,4,3,4,4,3.75,6,6,6,6.00,3,Educator,0,1965,51,2,0.50,0,0,1,0,0,0,,-0.50,4,4,4.00,4.00,1,,1,0,No,Studying individuals views on biases,2
33,-0.5,-0.5,1,0,0,0,5,6,6,2,6,4,4,7,5.67,2,6,2,6,2,6,7,7,7,7,6.57,6,6,6,6,2,5.20,4,6,5,5.00,5,5,3,5,2,4.25,3,7,6,5,4,6,5.60,6,2,6,7,7,7,6.60,3,5,3,3,5,4.00,5,5,5,5.00,3,Computer Technician,0,1966,50,2,0.50,0,0,1,0,0,0,,-0.50,6,1,7.00,6.50,1,,1,0,no,bias awareness,2
34,-0.5,-0.5,1,0,0,0,4,6,6,1,7,6,2,4,4.83,6,2,6,2,6,2,4,2,2,2,2.29,4,4,4,4,4,4.00,4,4,2,3.33,5,5,4,4,5,4.75,7,2,2,2,2,2,2.00,6,2,6,6,2,6,5.20,4,4,4,4,4,4.00,6,6,4,5.33,3,retail,0,1983,33,1,-0.50,0,0,1,0,0,0,,-0.50,1,7,1.00,1.00,4,green,1,0,no,I'm not sure.,2
35,-0.5,-0.5,1,0,0,0,6,6,6,4,4,3,5,7,5.67,4,4,3,5,4,4,5,5,5,5,4.71,7,6,7,5,6,6.20,4,5,4,4.33,5,4,1,7,5,5.25,4,6,1,1,6,1,3.00,7,1,7,6,6,7,6.60,5,5,5,3,5,5.00,6,5,4,5.00,3,domestic engineer,0,1991,25,2,0.50,0,0,1,0,0,0,,-0.50,4,4,4.00,4.00,3,,1,0,none,prejudice,2
36,-0.5,-0.5,1,0,0,0,4,6,6,4,4,3,5,6,5.17,3,5,3,5,4,4,6,6,6,6,5.43,6,5,6,5,6,5.60,3,4,5,4.00,3,2,5,3,2,2.50,5,5,3,5,3,3,3.80,6,2,6,6,6,6,6.00,3,5,5,2,6,4.75,6,6,5,5.67,3,Developer,0,1981,35,2,0.50,0,0,1,0,0,0,,-0.50,2,7,1.00,1.50,3,,1,0,No,Studying racism?,2
37,-0.5,-0.5,1,0,0,0,7,7,7,1,7,1,7,7,7.00,1,7,1,7,1,7,7,7,7,7,7.00,7,7,7,7,4,6.40,7,7,7,7.00,1,1,7,1,1,1.00,1,1,1,1,1,1,1.00,7,1,7,7,7,7,7.00,1,1,1,7,1,1.00,7,7,7,7.00,3,web designer,0,1975,41,2,0.50,0,0,1,0,0,0,,-0.50,7,1,7.00,7.00,2,,1,0,no,to see if people are concerned with bias,2
38,-0.5,-0.5,1,0,0,0,5,6,6,4,4,5,3,6,5.00,4,4,5,3,5,3,5,5,5,5,4.29,6,4,6,5,2,4.60,3,4,2,3.00,5,6,2,6,5,5.50,5,6,6,6,6,5,5.80,4,3,5,4,5,5,4.60,3,3,2,2,6,3.50,6,6,6,6.00,3,Education,0,1986,30,1,-0.50,0,1,0,0,0,0,,0.50,2,6,2.00,2.00,1,,1,0,,not sure,2
39,-0.5,-0.5,1,0,0,0,1,4,6,7,1,3,5,1,3.00,7,1,7,1,7,1,2,5,3,5,2.57,2,1,1,1,5,2.00,1,5,1,2.33,5,6,2,6,5,5.50,2,7,7,7,6,7,6.80,6,6,2,5,3,2,3.60,2,2,2,5,3,2.25,7,7,2,5.33,3,finance,0,1991,25,1,-0.50,0,0,1,0,0,0,,-0.50,7,2,6.00,6.50,2,,1,0,"When you asked about stereotypes, I think it's important to remember that stereotyping has been useful for our evolutionary history. Humans stereotype for survival reasons (safety, value). While stereotyping for purposefully mean reasons is obviously wrong, I think society is missing why humans have ever stereotyped in the first place. Prejudice is partly to blame, but sometimes stereotypes exist for a reason.",To tie stereotyping to political affiliation and demographics,1
40,-0.5,-0.5,1,0,0,0,5,6,5,5,3,2,6,7,5.33,5,3,5,3,5,3,5,7,6,7,4.86,7,7,7,7,7,7.00,6,6,6,6.00,6,5,3,5,5,5.25,5,2,1,3,2,2,2.00,7,1,7,7,7,7,7.00,6,6,6,2,6,6.00,7,7,7,7.00,3,university faculty,0,1963,53,2,0.50,0,0,1,0,0,0,,-0.50,1,6,2.00,1.50,1,,1,0,,,2
41,-0.5,-0.5,1,0,0,0,7,7,7,4,4,2,6,5,6.00,2,6,2,6,2,6,6,7,5,5,5.86,7,6,7,4,3,5.40,5,5,4,4.67,5,5,3,5,4,4.75,4,4,4,4,4,4,4.00,6,2,6,6,6,4,5.60,4,3,4,3,5,4.00,3,3,4,3.33,3,artist,0,1973,43,2,0.50,0,0,1,0,0,0,,-0.50,4,5,3.00,3.50,3,,1,0,none,not sure,3
42,-0.5,-0.5,1,0,0,0,4,6,7,4,4,2,6,6,5.50,2,6,4,4,4,4,6,6,6,6,5.43,6,4,6,4,4,4.80,4,5,4,4.33,2,2,2,6,2,3.00,5,2,4,4,2,2,2.80,4,2,6,4,6,4,4.80,2,2,2,6,2,2.00,6,6,6,6.00,3,statistician,0,1988,28,2,0.50,0,0,1,0,0,0,,-0.50,1,7,1.00,1.00,1,,1,0,no,perception of bias,2
43,-0.5,-0.5,1,0,0,0,3,4,4,5,3,3,5,5,4.00,5,3,4,4,6,2,6,5,6,6,4.57,3,5,5,5,5,4.60,1,3,2,2.00,3,5,7,1,3,3.00,5,3,3,3,3,3,3.00,6,3,5,6,6,6,5.80,5,3,5,4,4,4.25,6,6,6,6.00,3,Shift leader,0,1995,21,1,-0.50,0,0,1,0,0,0,,-0.50,1,7,1.00,1.00,1,,1,0,,Introduce a concept concerning bias and then test to see how others judge their own bias,2
44,-0.5,-0.5,1,0,0,0,6,7,7,1,7,1,7,7,6.83,1,7,3,5,3,5,7,7,7,7,6.43,7,7,7,6,6,6.60,6,6,5,5.67,3,2,6,2,3,2.50,1,4,4,6,4,4,4.40,7,1,7,7,7,7,7.00,2,2,2,4,4,2.50,7,7,7,7.00,3,Student,0,1985,31,2,0.50,0,0,1,0,0,0,,-0.50,1,7,1.00,1.00,1,,1,0,N/A,To see if people are aware of their own implicit biases.,2
45,-0.5,-0.5,1,0,0,0,7,7,7,1,7,1,7,7,7.00,1,7,1,7,5,3,7,7,7,7,6.43,7,6,7,7,4,6.20,5,6,6,5.67,7,7,1,7,6,6.75,5,4,4,4,1,1,2.80,7,1,7,7,7,7,7.00,7,7,7,3,5,6.50,6,6,6,6.00,3,Graphic Designer / Administrative Assistant,0,1981,35,2,0.50,0,1,0,0,0,0,,0.50,2,7,1.00,1.50,1,,1,0,No,To determine if people aware of and accepting of bias hold others to the same standards.,2
46,-0.5,-0.5,1,0,0,0,6,7,7,3,5,2,6,5,6.00,3,5,3,5,3,5,6,6,6,6,5.57,6,6,6,6,6,6.00,6,6,5,5.67,2,2,6,2,2,2.00,2,6,6,6,5,3,5.20,6,2,6,6,6,6,6.00,2,2,2,6,2,2.00,5,5,6,5.33,3,Realtor,0,1977,39,1,-0.50,0,0,1,0,0,0,,-0.50,2,6,2.00,2.00,1,,1,0,thanks,decision making,2
47,-0.5,-0.5,1,0,0,0,6,6,6,2,6,2,6,6,6.00,3,5,2,6,5,3,6,6,6,6,5.43,6,6,7,5,6,6.00,5,6,4,5.00,2,5,2,6,2,3.75,5,3,3,2,2,2,2.40,3,2,6,2,4,3,3.60,2,2,2,6,2,2.00,3,6,4,4.33,3,Mental Health Technician,0,1991,25,2,0.50,1,0,0,0,0,0,,0.50,2,5,3.00,2.50,1,,1,0,No,I have no idea.,2
48,-0.5,-0.5,1,0,0,0,6,5,5,4,4,3,5,5,5.00,3,5,3,5,3,5,5,5,5,5,5.00,5,4,5,5,3,4.40,5,5,5,5.00,5,5,4,4,5,4.75,5,5,5,5,5,5,5.00,6,4,4,5,5,5,5.00,4,5,5,5,3,4.25,5,5,5,5.00,3,Graphic Designer,0,1988,28,2,0.50,0,0,1,0,0,0,,-0.50,4,4,4.00,4.00,2,,1,0,,The purpose of the study may be to gather data on individual perception of implicit bias.,2
49,-0.5,-0.5,1,0,0,0,5,6,6,3,5,2,6,6,5.67,4,4,4,4,5,3,7,4,7,6,5.00,7,5,6,6,4,5.60,4,5,4,4.33,5,4,3,5,4,4.50,4,3,3,4,4,3,3.40,6,4,4,5,6,5,5.20,5,4,5,2,6,5.00,6,6,6,6.00,3,analyst,0,1962,54,2,0.50,0,0,1,0,0,0,,-0.50,4,4,4.00,4.00,3,,1,0,,To see if we recognize our own bias and judge doctors differently for theirs.,2
50,-0.5,-0.5,1,0,0,0,6,6,6,1,7,4,4,7,6.00,1,7,5,3,5,3,6,6,6,6,5.29,6,7,6,7,5,6.20,6,6,6,6.00,1,1,1,7,2,2.75,7,6,6,6,6,6,6.00,6,1,7,6,6,6,6.20,4,4,3,3,5,4.00,1,1,1,1.00,3,Patient Care Technician,1,1989,27,2,0.50,0,0,0,1,0,0,,0.50,1,6,2.00,1.50,1,,1,0,,Racial biases,2
51,-0.5,-0.5,1,0,0,0,2,5,6,5,3,3,5,5,4.33,6,2,7,1,7,1,3,5,3,5,2.86,7,3,7,2,3,4.40,3,5,3,3.67,6,6,2,6,6,6.00,5,5,5,6,5,5,5.20,6,5,3,6,3,7,5.00,5,7,7,1,7,6.50,7,6,6,6.33,3,none,0,1990,26,1,-0.50,0,0,1,0,0,0,,-0.50,3,6,2.00,2.50,3,,1,0,,,1
52,-0.5,-0.5,1,0,0,0,7,7,7,1,7,1,7,6,6.83,1,7,1,7,1,7,7,7,7,7,7.00,7,6,6,7,6,6.40,1,6,4,3.67,5,5,4,4,5,4.75,4,6,1,1,1,1,2.00,4,4,4,4,4,4,4.00,4,1,1,7,1,1.75,7,7,7,7.00,3,Teacher,0,1988,28,1,-0.50,0,0,1,0,0,0,,-0.50,2,6,2.00,2.00,1,,1,0,no,to see how people felt about doctors and biased treatment and to see if people believed that action should be taken,2
53,-0.5,-0.5,1,0,0,0,5,6,7,7,1,2,6,3,4.67,5,3,3,5,3,5,6,6,5,6,5.14,7,5,5,3,7,5.40,6,6,6,6.00,3,5,2,6,3,4.25,3,6,5,6,5,3,5.00,6,1,7,7,7,7,6.80,5,6,6,3,5,5.50,7,7,7,7.00,3,Children's Pastor,0,1988,28,2,0.50,0,0,1,0,0,0,,-0.50,6,3,5.00,5.50,2,,1,0,,To understand whether it is wrong for doctors to have bias against the elderly.,2
